Date,Username,User tag,Content,Mentions,link
"2022-09-12,17:50:40","awliang","#0","","","https://cdn.discordapp.com/attachments/1018999236144156722/1019002130037739682/unknown.png"
"2022-10-03,09:11:30","awliang","#0","Hello and welcome to the <#1018999236144156722> channel <:nfteth:822186186016948314> 

Feel free to reach out to the MetaMask Team at any point with your questions!


👀 **ABOUT** 

Extend the functionality of **MetaMask**. The most popular wallet is now an extensible platform for permissionless innovation. Bring your features and APIs to MetaMask with Snaps.

A snap is a program run in an isolated environment that customizes and extends the wallet experience. We are looking for new and interesting use cases to modify MetaMask using Snaps.


🏆 **PRIZE OVERVIEW **

🥇 1st Prize - $3,500
🥈 2nd Prize - $2,500
🥉 3rd Prize - $1,500
✨ Runner up x5 - $500 each

**↓ Full Prize Breakdown Here ↓ **
https://bogota.ethglobal.com/prizes


🚀 **WORKSHOP**

**MetaMask 🛠 Transaction Insights**
**Time:** 10:30 PM – Oct 07, 2022
**Location: **Workshop Room 2


🔗 **IMPORTANT LINKS**
https://docs.metamask.io/guide/snaps.html?utm_source=ethbogota&utm_medium=event&utm_campaign=2022_Sep_ethbogota-hackathon-page_awareness_event
https://docs.metamask.io/guide/snaps.html?utm_source=ethbogota&utm_medium=event&utm_campaign=2022_Sep_ethbogota-hackathon-page_awareness_event%20#getting-started
https://github.com/MetaMask/template-snap-monorepo
https://github.com/MetaMask/snaps-skunkworks/discussions/474","",""
"2022-10-03,17:48:11","andreolf","#0","Welcome guys to the MM channel for the hackathon!","",""
"2022-10-03,17:53:05","andreolf","#0","Also check out those snaps wishlist, useful to get inspiration: https://github.com/MetaMask/snaps-skunkworks/discussions/474","",""
"2022-10-03,19:32:08","icree8","#0","The 5 minute tutorial source code from github, is different from the video explanation.  Where do we find an upated video with source code to follow? Thanks","",""
"2022-10-03,20:34:37","andreolf","#0","Hey guys, bunch of people are asking. you can target 1 of the challenges, not all three (transactions insights, notifications and custom confirmation screen). This is important","",""
"2022-10-03,20:38:57","andreolf","#0","mmm checking","icree8#0",""
"2022-10-03,23:23:19","icree8","#0","On the github repo -> under src/index.js 
Line 1: module.exports.onRpcRequest = async ({ origin, request }) => {


on the tutorial the line is shown as:
wallet.registerRpcMessageHandler(async (originString, requestObject) => {","",""
"2022-10-03,23:24:32","icree8","#0","<@327450725053497344>","andreolf#0",""
"2022-10-03,23:43:22","icree8","#0","","andreolf#0","https://cdn.discordapp.com/attachments/1018999236144156722/1026701038771769454/unknown.png"
"2022-10-03,23:44:14","icree8","#0","The connect button works, once you click SEND HELLO -> that messsage appears.

I don't know if it has to do with the code I mentioned above","",""
"2022-10-04,08:32:07","andreolf","#0","The video is based on older api version. Nowadays we use module.exports","icree8#0",""
"2022-10-04,08:34:59","andreolf","#0","<@349611142697451520> here also from the snaps team!","m0nt0y4#0",""
"2022-10-04,08:35:44","m0nt0y4","#0","Hi, it took a while for me to access this channel but I'm finally here","",""
"2022-10-04,08:36:25","m0nt0y4","#0","<@885198099876814938> please follow the tutorial on our docs and use the template-snap-monorepo repository: https://docs.metamask.io/guide/snaps.html#getting-started","icree8#0",""
"2022-10-04,08:36:31","m0nt0y4","#0","Also make sure you are on the latest version of Flask","",""
"2022-10-04,08:36:51","m0nt0y4","#0","The screenshot you posted is from an old template that doesn't work anymore. Sorry about the confusion.","",""
"2022-10-05,17:50:34","inigozart","#0","hey team! thanks for putting up these guys","",""
"2022-10-05,17:51:00","inigozart","#0","Been doing research into how we can implement Metamask snaps into our project on Eth Bogotá","",""
"2022-10-06,11:12:42","andreolf","#0","nice, you have already some use case ideas?","inigozart#0",""
"2022-10-06,19:06:22","andreolf","#0","Check this out guys, we just did with <@349611142697451520> , let us know if is useful to learn snaps fast! https://ethglobal.com/guides/introduction-to-metamask-snaps-54ej1","m0nt0y4#0",""
"2022-10-07,09:44:21","andreolf","#0","Who is already at the venue today?","",""
"2022-10-07,09:44:33","andreolf","#0","<@885198099876814938> ?","icree8#0",""
"2022-10-07,09:44:49","andreolf","#0","<@472426060441714688> ?","inigozart#0",""
"2022-10-07,09:55:06","emilyhobbs","#0","hey!

sponsors are coming in around 10am 🙂","andreolf#0",""
"2022-10-07,10:27:15","colombo3306","#0","Hey! My name is Andres and Im looking fo a team to build on snaps. I come from the music NFT and intellectual property ecosystem. Just published a research paper via the Water and Music research DAO about onchain splits and their applications for music and creators. We identified the need for a tool that allows for multiplayer admin of IP registry (non transferable) tokens and admin of digital assets and would like to build on Meta Mask snaps exploring pop-up and notification functionality for this sprint. Dms open if you'd like to learn more. First hackathon 🙂","",""
"2022-10-07,15:16:52","andreolf","#0","Hey hey nice! We are on our way to the hackathon, are you already there?","",""
"2022-10-07,16:41:41","ritave","#0","Hey, I'm an engineer from Snaps, if you have any technical questions @ me and I'll respond as quickly as I can!","",""
"2022-10-07,17:03:18","alexb0x","#0","Easily explore Snaps with our gettign started guide ➡️ https://github.com/MetaMask/snaps-skunkworks/discussions/821","",""
