Date,Username,User tag,Content,Mentions,link
"2022-08-11,17:22:47","awliang","#0","","","https://cdn.discordapp.com/attachments/1006682877653688340/1007398700760432670/unknown.png"
"2022-08-15,10:45:53","awliang","#0","Hello and welcome to the <#1006682877653688340> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Aave Grants DAO Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**Aave Grants DAO** is a community-led grants program, focused on growing a thriving ecosystem of contributors within Aave through funding ideas, projects and events that benefit the ecosystem. 


🏆 **PRIZE OVERVIEW **

**Most innovative Aave V3 Integration**
🥇$9,000
🥈 $5,500
🥉 $4,000
✨ $1,500


**↓ Full Prize Breakdown Here ↓**
https://mexico.ethglobal.com/prizes


🚀 **WORKSHOP**
**Hacking with Aave v3**
w/ *Miguel M*
Friday, August 19 @ 5:00 pm


🔗 **IMPORTANT LINKS**
https://docs.aave.com/hacking-on-aave-v3/
https://aavegrants.org/apply-for-a-grant
https://aavenews.substack.com/","",""
"2022-08-20,22:03:48","jetsetterjim","#0","Hi 😄 - I just dropped by the Aave booth in the event center and it seems like everyone was out for the night. Will anyone from the team be here tomorrow?","",""
"2022-08-21,10:31:57","miguelmtzinf","#0","Hey <@373273472396427266> , come to the booth today if you have any question!","jetsetterjim#0",""
"2022-08-25,19:38:58","awliang","#0","","","https://cdn.discordapp.com/attachments/1006682877653688340/1012506404533317713/unknown.png"
"2022-08-29,15:12:41","awliang","#0","Hello and welcome to the <#1006682877653688340> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Aave Grants DAO Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**Aave Grants DAO** is a community-led grants program, focused on growing a thriving ecosystem of contributors within Aave through funding ideas, projects and events that benefit the ecosystem. 


🏆 **PRIZE OVERVIEW **

**Stablecoin Growth** - *Build projects and integrations that bring more stablecoin liquidity into Aave such as new yield aggregation tools, wallet integrations or fintech / e-commerce integrations. *
🥇 1st prize - $3,000
🥈 2nd prize - $1,000

**Credit Delegation with Lens Protocol** - *Assess reputation of Lens profiles and use this data to enable users to delegate or access credit.*
🥇 1st prize - $3,000
🥈 2nd prize - $1,000

**Accessibility** - *Enable new ways or groups of users to access the Aave protocol.*
🥇 1st prize - $3,000
🥈 2nd prize - $1,000

**Aave Forex Tool** - *Allow users to efficiently access forex liquidity using one or all of: E-mode, flashloans, DeFi integrations such as Curve *
🥇 1st prize - $3,000
🥈 2nd prize - $1,000

**Transaction Builder **- *Write a dispatcher contract that can allow the users to submit multiple actions in a single transaction. For example, Deposit then Borrow (Deposit ETH > Borrow USDC) or Leverage Long On Asset (Deposit ETH > Borrow USDC > Buy ETH > Deposit ETH > Borrow USDC)*
🥇 1st prize - $3,000
🥈2nd prize - $1,000

**↓ Full Prize Breakdown Here ↓**
https://online.ethglobal.com/prizes


🚀 **WORKSHOP**
*Workshop coming soon!*


🔗 **IMPORTANT LINKS**
https://docs.aave.com/hacking-on-aave-v3/
https://aavegrants.org/apply-for-a-grant
https://aavenews.substack.com/","",""
"2022-08-31,05:41:53","vishuu0123","#0","looking for mentor who can guide us more about our idea  integrating aave v3","",""
"2022-08-31,11:43:37","bryan","#8472","we need mentorship for integrating the lens protocol in our idea","",""
"2022-08-31,13:42:27","hidetaka","#3633","We are thinking of creating something like a Web3 version of Patreon.

We envision the following use cases for your technology lie below.

Are you eligible in either case for your prize?　Or is only one of the two eligible? Or do you have any idea?

1. Provide a UX that makes it easy for creators to lend their earnings to lenders using AAVE.

2. Allow fans to donate AAVE yields to creators.","",""
"2022-09-01,21:25:36","kiku.ra","#0","I am keen to produce more insights from on chain data. 
https://docs.aave.com/hacking-on-aave-v3/#data-analysis
Looking for some guidance to understand what Aave is looking for?","",""
"2022-09-03,01:00:47","joelcodes","#0","Howdy everyone, is there anyone from the sponsor team that can validate if our idea is worth building? I organized the key components in a document I can share with you. Feel free to DM or reply here. Thank you!","",""
"2022-09-04,00:23:52","defispartan","#0","<@533994454391062529> can assist with Lens questions","fabriguespe#0、bryan#8472",""
"2022-09-04,00:24:32","defispartan","#0","You can post here or DM me (may be slow to respond over holiday weekend though)","vishuu0123#0",""
"2022-09-04,00:32:15","defispartan","#0","For this hackathon, Aave is offering prizes for 5 different project categories: https://discord.com/channels/554623348622098432/1006682877653688340/1013888945110655036. The first idea sounds like it could fit into the accessibility or stablecoins category. The second idea also sounds like it could fall under accessibility, though I will warn that this project would be more technically challenging","hidetaka#3633",""
"2022-09-04,00:36:48","defispartan","#0","For ETHOnline, Aave is offering 5 prize categories: https://discord.com/channels/554623348622098432/1006682877653688340/1013888945110655036","kiku.ra#0",""
"2022-09-04,00:37:32","defispartan","#0","You can post here or DM me (may be slow to respond over holiday weekend though)","joelcodes#0",""
"2022-09-04,07:57:20","fabriguespe","#0","Gm gm <#959960606729977986>","bryan#8472",""
"2022-09-04,08:02:09","pash161","#0","Hey Team!
This might be little out of context here. But we are building a analytics platform for DAO contributors. ( with analytics like discord activity, forum activity, snapshot activity). 
This analytics platform also powers the overall governance process.
As per Aave grants DAO notion page i see there is a requirement for a Governance UI and i feel what we are building could solve this.
Who can i talk to from Aave team to understand the exact requirement for this Governance UI.","","https://cdn.discordapp.com/attachments/1006682877653688340/1015954925286604851/Screenshot_2022-09-04_at_5.28.54_PM.png"
"2022-09-04,08:02:27","pash161","#0","gm gm!!!","fabriguespe#0",""
"2022-09-04,11:02:24","joelcodes","#0","Have a great weekend! I sent it over so you can read (~2mins) at your convenience","defispartan#0",""
"2022-09-06,03:55:03","nftartboy","#0","Hi Aave and Lens team,
our team is considering to use Lens Protocol, but our wallet adresses seem to be not eligible. Is there any chance to get our handles anyways?","",""
"2022-09-06,11:12:35","0xbilll","#0","Hey Pash! The best way to get feedback on a grant is to submit an application with what you're thinking through the aave grants website. That page isn't meant to be strict bounties but rather inspiration for builders.  Let's keep this chat focused on the hackathon tho!","pash161#0",""
"2022-09-06,11:14:07","0xbilll","#0","Feel free to reply to this Tweet with what you're building! https://twitter.com/AaveGrants/status/1567157547185983488","",""
"2022-09-06,11:48:08","0xsoe","#0","Hey <@751163174769786982>  our team is working on fixed income assets using Aave & efficient AMM optimized for zero-coupon bond .
As you said above, to win Aave's prizes at this hack, do we have to necessarily  apply through the aave grants website?","0xbilll#0",""
"2022-09-06,13:20:41","numtel","#8850","This sounds similar to the sticky app I helped build at ethmexico, where content creators are paid out the yield from the investment fund that's in an aave pool https://ethglobal.com/showcase/sticky-app-mzxc5","hidetaka#3633",""
"2022-09-06,20:29:53","0xbilll","#0","No, grants are totally seperate from the hackathon bounties","0xsoe#0",""
"2022-09-07,14:55:01","creedebeauvoir","#0","Hey <@&978595534812102666>   👋 

Aave 🛠 New Frontiers for DeFi Builders is starting soon-ish !!

Join on Zoom: https://ethglobal.zoom.us/j/85753466247
Watch on YouTube: https://youtu.be/pHByDLwY7Fo","",""
"2022-09-07,15:03:34","vishuu0123","#0","<@202112256081788929>  please check dm","defispartan#0",""
"2022-09-07,15:35:56","numtel","#8850","Thanks for the presentation. I was watching on YouTube so I couldn't ask a question but I was wondering if I would still be eligible for the social credit prize if I only use lens as part of the account reputation profile? My goal is to enable partially collateralized loans but if I do the borrowing on aave with onBehalfOf, the borrower will have to pay interest on aave as well as any agreed interest to the lender. Also, wondering if eligible for accessibility prize if this app performs all HTML rendering on chain in order to be censorship resistant.","",""
"2022-09-08,02:30:37",".sha256yan","#0","hello, thinking of building an amortization schedule for aave loans which automatically makes payments at set intervals, wondering if a similar service exists already","",""
"2022-09-08,08:15:08","stanislav6300","#0","Hello! We`ve an idea how to integrate aave to our project. Could we set up a small call with aave's representative?","",""
"2022-09-09,00:44:55","defispartan","#0","Hey there, yep this would certainly be eligible. And yes the delegator is responsible for paying the accrued interest plus any agreed-upon premium. To handle the calculations for this I would recommend performing the delegation through a vault such as this (https://medium.com/aave/first-credit-delegation-on-aave-protocol-to-deversifi-is-here-c6c0aedb70d4). And yes absolutely a censorship-resistant interface would be eligible for the accessibility category","numtel#8850",""
"2022-09-09,00:47:38","defispartan","#0","I've heard of protocol doing scheduled interest payouts, but I'm not aware of any project which does this for repayments",".sha256yan#0",""
"2022-09-09,00:50:26","defispartan","#0","Feel free to send me a DM and we can set something up","stanislav6300#0",""
"2022-09-09,02:52:07","zkmeta","#0","hi, my team is thinking about adding some transaction builder functionality into our project. I was wondering if we could meet with someone from AAVE to get feedback on our initial ideas and help us brainstorm some additional use cases. As well as some initial guidance on writing the routing contract","",""
"2022-09-09,11:20:54","donoso_eth","#0","hi <@202112256081788929> , thks for the presentation and the passion, justr saw the recording.","defispartan#0",""
"2022-09-09,11:23:47","donoso_eth","#0","Have though a question. Developing in a hardhat network forked is awesome (like the aave sandbox), however, sometimes would make the process easier when developpin on a testnet, are the aave contracts deployed on testnets and there are some liquidity?, or the sandbox is the only way to develop?","",""
"2022-09-10,04:38:41","zkgpt","#0","I think they do have deployed the protocol to Testnets, and you could get the testnet addresses from the dev doc https://docs.aave.com/developers/deployed-contracts/v3-testnet-addresses, or you could access the testnet UI via https://staging.aave.com/","donoso_eth#0",""
"2022-09-10,05:42:27","donoso_eth","#0","thks @web3, just oversaw this","zkgpt#0",""
"2022-09-10,21:54:22","joelcodes","#0","```
cannot estimate gas; transaction may fail or may require manual gas limit (error={""reason"":""processing response error"",""code"":""SERVER_ERROR"",""body"":""{\""jsonrpc\"":\""2.0\"",\""id\"":111,\""error\"":{\""code\"":3,\""message\"":\""execution reverted: ERC20: transfer amount exceeds balance\"",\""data\"":\""0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002645524332303a207472616e7366657220616d6f756e7420657863656564732062616c616e63650000000000000000000000000000000000000000000000000000\""}}"",""error"":{""code"":3,""data"":""0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002645524332303a207472616e7366657220616d6f756e7420657863656564732062616c616e63650000000000000000000000000000000000000000000000000000""},""requestBody"":""{\""method\"":\""eth_estimateGas\"",\""params\"":[{\""value\"":\""0x0\"",\""from\"":\""0xde29485df7e941866442ceb25dce1b9c64d02a26\"",\""to\"":\""0x0b3c23243106a69449e79c14c58bb49e358f9b10\"",\""data\"":\""0x40c10f19000000000000000000000000001b3b4d0f3714ca98ba10f6042daebf0b1b7b6f00000000000000000000000000000000000000000000021e19e0c9bab2400000\""}],\""id\"":111,\""jsonrpc\"":\""2.0\""}"",""requestMethod"":""POST"",""url"":""https://polygon-mumbai.g.alchemy.com/v2/demo""}, method=""estimateGas"", transaction={""from"":""0xDE29485dF7e941866442ceb25DCe1b9c64D02A26"",""to"":""0x0b3C23243106A69449e79C14c58BB49E358f9B10"",""value"":{""type"":""BigNumber"",""hex"":""0x00""},""data"":""0x40c10f19000000000000000000000000001b3b4d0f3714ca98ba10f6042daebf0b1b7b6f00000000000000000000000000000000000000000000021e19e0c9bab2400000"",""accessList"":null}, code=UNPREDICTABLE_GAS_LIMIT, version=providers/5.5.3)
```

Does anyone else get this when they try to use the faucet ?","",""
"2022-09-10,21:56:12","joelcodes","#0","https://app.aave.com/faucet/?marketName=proto_mumbai_v3","",""
"2022-09-10,21:56:25","joelcodes","#0","This is when trying to get tokens for Mumbai testing","",""
"2022-09-11,01:45:59","nanquiedo","#0","Hello!","",""
"2022-09-11,01:46:01","nanquiedo","#0","Is there a recommended way to obtain a users health factor at a given past time?","",""
