Date,Username,User tag,Content,Mentions,link
"2022-03-21,09:51:31","awliang","#0","","","https://cdn.discordapp.com/attachments/955463647918981150/955463672346583040/Logo_1.png"
"2022-04-12,15:24:02","awliang","#0","Hello and welcome to the <#955463647918981150> channel <:nfteth:822186186016948314> 

Feel free to reach out to the WalletConnect Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**WalletConnect** is the web3 standard for connecting blockchain wallets to dapps. We offer SDKs and infrastructure to provide wallets with more interoperability. Our protocol enables a secure connection between a dapp and a wallet that a user can expose its blockchain accounts and sign messages and transactions.

Learn more: https://walletconnect.com/


🏆 **PRIZE OVERVIEW **
** DeFi Track**
🥇 1st - $4,000
🥈 2nd - $2,000
🥉 3rd - $1,000

**Social Track**
🥇 1st - $4,000
🥈 2nd - $2,000
🥉 3rd - $1,000

🏊 **Pool Prize** - $2,000 to honorable mentions that have full integration with WalletConnect

**↓ Full Prize Breakdown Here ↓ **
https://ethamsterdam.ethglobal.com/prizes/


🚀 **WORKSHOP** 
**How to connect your dapp with WalletConnect**
Friday, April 22 @ 17:00
w/ Pedro Gomes


🔗 **IMPORTANT LINKS**
https://docs.walletconnect.com/","",""
"2022-04-21,05:30:20","chrishobcroft","#0","Hey, is there any sample code for connecting 2 wallets to 1 app?","",""
"2022-04-21,05:31:48","chrishobcroft","#0","e.g. App on laptop, 1 wallet on Rainbow/iPhone, 1 wallet on WallETH/Android. For e.g. paired programming in Remix, two-player games, etc.","",""
"2022-04-22,03:14:47","pedrouid","#0","Hey <@365524730628931598>","chrishobcroft#0",""
"2022-04-22,03:15:08","pedrouid","#0","You can definitely connect 2 wallets to 1 app","",""
"2022-04-22,03:15:33","pedrouid","#0","However it definitely requires some hacking around it","",""
"2022-04-22,03:16:45","pedrouid","#0","you can pass a variable named `storageId` which by default is set to ""walletconnect""","",""
"2022-04-22,03:18:11","pedrouid","#0","however since you are customizing the `storageId` then you will need to track the custom storageId's you have created to re-intializes clients","",""
"2022-04-22,03:24:19","pedrouid","#0","```javascript
// when creating a new connector
const storageIds = localstorage.getItem(""walletconnect-storage-ids"")

const storageId = ""walletconnect-"" + storageIds.length + 1

const connector = new WalletConnect({ storageId })

localstorage.setItem(""walletconnect-storage-ids"", [...storageIds, storageId])


// when loading connectors on page load
const storageIds = localstorage.getItem(""walletconnect-storage-ids"")

const connectors = storageIds.map(storageId => new WalletConnect({ storageId })
```","",""
"2022-04-22,03:24:56","pedrouid","#0","PS - we have improved this experience significantly for v2.0 so the example above is only applicable for v1.0","",""
"2022-04-22,06:32:41","pedrouid","#0","For all the Flutter devs out there, check out: https://github.com/Orange-Wallet/wallet-connect-dart","",""
"2022-04-22,08:32:09","pedrouid","#0","Don't miss out the WalletConnect workshop TODAY

**How to connect your dapp with WalletConnect**
Friday, April 22 @ 17:00
w/ Pedro Gomes","",""
"2022-04-23,05:10:06","pedrouid","#0","Generating JWT tokens from ETH signatures

https://github.com/0xsequence/ethauth.js","",""
"2022-04-23,05:36:46","pedrouid","#0","For those that might have missed the WalletConnect workshop you can watch the recording here

https://www.youtube.com/watch?v=qCdAc3KCEmg","",""
"2022-04-23,05:37:53","pedrouid","#0","PS - you can watch it from the beggining up to min 34:20","",""
"2022-04-23,17:45:40","duckception","#0","Hey, have anyone encountered this problem? I'm using `@web3-react/walletconnect-connector` and this is thrown in that library","",""
"2022-04-23,17:45:52","duckception","#0","","","https://cdn.discordapp.com/attachments/955463647918981150/967541845808803900/unknown.png"
"2022-04-23,17:46:20","duckception","#0","it's thrown in the `activate` function for the connector","",""
"2022-04-23,18:21:11","normadn","#0","Hey walletConnect team, sorry for bugging u at that time but we have an error we need to fix and we believe it might be a problem in ur sdk. We r trying to sign a contract via ethers-rs and we get the following error message. Would be rly great if u could help!","",""
"2022-04-23,18:21:18","normadn","#0","","","https://cdn.discordapp.com/attachments/955463647918981150/967550761489805352/IMG_9429.jpg"
"2022-04-23,19:14:01","pedrouid","#0","Hey <@240486346848731136> we actually are not aware exactly where activate is being under web3-react but you can also our provider separately","duckception#0",""
"2022-04-23,19:15:41","pedrouid","#0","Unsure how it affects our sdk, but I could be wrong…

However I do recognize that error message from ethers so you should look into using a sanitize hex util to make sure all inputs have 0x prefix encoded","normadn#0",""
"2022-04-23,19:18:36","normadn","#0","thx for ur answer. We try to debug more.","",""
"2022-04-23,19:26:58","duckception","#0","We changed parcel to webpack and it worked 👌🏻","pedrouid#0",""
"2022-04-24,03:18:14","samgarcia","#0","Hi WalletConnect team! <:SamWave:774134801531404330>  It was great to integrate with your wallet for the sign in process of our project. Looking forward to showing you our 3D and VR enabled metaverse gaming dApp called DAOVerse during judging today. https://twitter.com/TheDaoverseOrg/status/1518110548990337024?s=20&t=IRWzPalglxg1x5QLotAjcA

Is there anything else we need to do to submit for the bounty?","",""
"2022-05-03,17:08:37","awliang","#0","","","https://cdn.discordapp.com/attachments/955463647918981150/971156351420104744/unknown.png"
