Date,Username,User tag,Content,Mentions,link
"2022-07-03,00:11:05","awliang","#0","","","https://cdn.discordapp.com/attachments/993005932902613103/993005942083964959/unknown.png"
"2022-07-05,15:30:23","awliang","#0","Hello and welcome to the <#993005932902613103> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Lit Protocol Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**Lit** is a decentralized compute, encryption, and access control network powered by threshold cryptography.

With Lit, developers can automate signing, reading, and writing data to web3 decentralized networks like Ethereum and IPFS. Additionally, data can be private in these open web applications and only decrypted by authorized parties with Lit access control. 

Lit offers two products, Prograblem Key Pairs (PKPs) and Decentralized Access Control. There is one bounty for each product!


🏆 **PRIZE OVERVIEW **

🔑 Best use of Key Pair Apps + Tools — $2500
🥷 Private Data on the Open Web — $2500

**↓ Full Prize Breakdown Here ↓ **
https://ethglobal.com/events/hackfs2022/prizes


🚀 **WORKSHOP** 
*Workshop link coming soon!*


🔗 **IMPORTANT LINKS**
https://developer.litprotocol.com/docs/litactionsandpkps/whatarelitactionsandpkps/
https://developer.litprotocol.com/docs/toolsandexamples/sdkexamples/encryptanddecrypt/installation/","",""
"2022-07-05,22:06:53","danilowhk","#0","Hello!","",""
"2022-07-05,22:07:16","danilowhk","#0","We are planning on building using the Lit Protocol, but would like to validate if our idea is possible to implement","",""
"2022-07-05,22:07:35","danilowhk","#0","Would there be any mentor that we could have a chat with?","",""
"2022-07-07,09:19:01","lumilobo","#0","~~Hi <@720407640131240026>  🤗 which chains does lit support? I only see `ethereum` in the docs, or does that mean any EVM chain?~~
Nvm already found the answer (:","awliang#0",""
"2022-07-07,17:34:19","danoved","#0","Hello I’m potentially interested in using lit to token gate content for virtual worlds stored on ipfs. How much does the encryption/decryption rely on centralized servers? Ie if lit disappears one day and my content is encrypted will I be able to decrypt it if lits servers are unavailable?","",""
"2022-07-07,18:11:15","thenoneconomist","#0","One use case I'm exploring needs to protect anyone but data owners(and people given permission to) from reading the full data but provide only insights from it. Is this sth Lit Protocol can help with?","",""
"2022-07-08,11:46:10","0xefrain","#0","Hi we are planning to build using Lit protocol  any  Lit Protocol  member for discuss about our project","",""
"2022-07-08,14:05:54","davidsneider","#0","yes! can you DM me?","danilowhk#0",""
"2022-07-08,14:06:49","davidsneider","#0","Lit is a decentralized dependency. if a few of the nodes go away, you can still get the key. if all of them go away, you won't be able to.","danoved#0",""
"2022-07-08,14:06:56","davidsneider","#0","please DM!","0xefrain#0",""
"2022-07-08,14:07:37","davidsneider","#0","Yes! Check this out: https://developer.litprotocol.com/docs/AccessControlConditions/intro","thenoneconomist#0",""
"2022-07-08,19:39:18","karthik_karthik","#8212","<@708879198915395645>  can you please tell me what can we do with lit-protocol in simple words like examples of previous projects that are built on lit-protocols.","davidsneider#0",""
"2022-07-08,19:53:17","_wbt_","#0","FYI, in the prizes section, under 🥷 Private Data on the Open Web — $2500
it says ""For this bounty, create a novel tool or application that uses Lit to store private data on the open web. Check out this guide for tips on how to implement it.""
There's no clickable link there.","",""
"2022-07-08,20:59:09","creedebeauvoir","#0","thanks for catching!","_wbt_#0",""
"2022-07-08,20:59:13","creedebeauvoir","#0","here's the link: https://blog.litprotocol.com/?p=lit-x-bundlr-x-arweave-guide","",""
"2022-07-08,20:59:25","creedebeauvoir","#0","will also update on prize site 🙂","",""
"2022-07-09,08:36:20","harpaljadeja.eth","#0","hi <@804718381814513695> can we share the key in a secure manner with other people to decrypt the content?","creedebeauvoir#0",""
"2022-07-09,13:55:14","danoved","#0","cool so if we have the key we can decrypt the content?","davidsneider#0",""
"2022-07-09,15:44:57",".joshuabray","#0","**Decentralized Access Control == Gated Access**
I like to think: Lit allows for easy ""gated access"" to things (information, events, finances)

examples:
You could store information that only those with an NFT from a particular collection can read/access/edit.
You could allow specified users to attend an online seminar.","karthik_karthik#8212",""
"2022-07-10,14:55:08","davidsneider","#0","Lit will provision the user a key to decrypt when their meet the conditions: https://developer.litprotocol.com/docs/AccessControlConditions/intro","harpaljadeja.eth#0",""
"2022-07-10,14:55:49","davidsneider","#0","yes, that's correct. the content is initially encrypted client side and the key that is generated during that process can decrypt.","danoved#0",""
"2022-07-11,10:34:23","Michael Vogt","#2729","Hello. While the tutorial are great to get something working, is there some kind of API reference available, too?
For example, here are a bunch of functions mentioned to use, but nothing about the parameter list and return type
https://developer.litprotocol.com/docs/ToolsAndExamples/SDKExamples/EncryptAndDecrypt/encryption#:~:text=If%20you%20are,use%20zipAndEncryptFiles()%20instead.","",""
"2022-07-11,10:45:31","Michael Vogt","#2729","Found it: https://github.com/LIT-Protocol/lit-js-sdk/blob/main/api_docs.md","",""
"2022-07-12,13:36:18","davidsneider","#0","awesome.","",""
"2022-07-12,13:36:28","davidsneider","#0","ping if you've got other questions <@548176959293751338>","Michael Vogt#2729",""
"2022-07-12,13:37:09","Michael Vogt","#2729","Thanks David 👍","",""
"2022-07-12,14:16:47","Carl","#0186","<@708879198915395645> Question: When using the Lit Ceramic SDK, what Ceramic data model is being used here?:
```
const stringToEncrypt = 'This is what we want to encrypt on Lit and then store on ceramic'
const response = litCeramicIntegration
   .encryptAndWrite(stringToEncrypt, accessControlConditions)
   .then((streamID) => console.log(streamID))
```","davidsneider#0",""
"2022-07-12,23:10:39","rwiggum","#0","it's a custom one that stores your data as an encrypted zip along with the metadata needed to decrypt it via Lit.  You can see it in the code here https://github.com/LIT-Protocol/CeramicIntegration/blob/main/src/ceramic.ts#L86","Carl#0186",""
"2022-07-13,06:44:28","harpaljadeja.eth","#0","my string data is empty","","https://cdn.discordapp.com/attachments/993005932902613103/996728815432781904/unknown.png"
"2022-07-13,06:44:33","harpaljadeja.eth","#0","","","https://cdn.discordapp.com/attachments/993005932902613103/996728837113122906/unknown.png"
"2022-07-13,06:44:42","harpaljadeja.eth","#0","this is the data when console logged","",""
"2022-07-13,06:45:15","harpaljadeja.eth","#0","<@399725459455213579>","rwiggum#0",""
"2022-07-13,07:07:29","harpaljadeja.eth","#0","`checkAndSignAuthMessage` prompts for a sign every time, the docs says that it check in localStorage first doesn't seem to","",""
"2022-07-13,07:19:57","harpaljadeja.eth","#0","this page link doesn't work","","https://cdn.discordapp.com/attachments/993005932902613103/996737745894522921/unknown.png"
"2022-07-13,08:57:43","Carl","#0186","Thanks!","rwiggum#0",""
"2022-07-13,11:54:46","enicibenici","#0","hey there","",""
"2022-07-13,11:55:32","enicibenici","#0","we want to store images in decentralized network","",""
"2022-07-13,11:55:51","enicibenici","#0","ideally from webbrowser","",""
"2022-07-13,11:56:03","enicibenici","#0","is it possible with your product?","",""
"2022-07-13,11:58:38","davidsneider","#0","here's an example <@436280197340463105>: https://blog.litprotocol.com/?p=lit-x-bundlr-x-arweave-guide

you can use Lit with any storage network!","enicibenici#0",""
"2022-07-13,12:01:49","enicibenici","#0","we wanna  to avoid using secret keys and backend","",""
"2022-07-13,12:03:14","enicibenici","#0","can we safely use your api from frontend?","",""
"2022-07-13,12:25:21","rwiggum","#0","encryptedSymmetricKey should be passed in as hex.  looks like you're passing it in as an array. you can convert it with `LitJsSdk.uint8arrayToString(yourArrayHere, 'base16')`","harpaljadeja.eth#0",""
"2022-07-13,12:26:05","rwiggum","#0","are you using the same chain every time?  and you're sure you're not in an env where localstorage is restricted, like an iframe?","harpaljadeja.eth#0",""
"2022-07-13,12:26:34","rwiggum","#0","those docs are here now: https://developer.litprotocol.com/docs/AccessControlConditions/EVM/customContractCalls","harpaljadeja.eth#0",""
"2022-07-13,12:27:50","rwiggum","#0","yes you can do this, and Lit will handle key management for you, but you need to decide where you will store the images.  arweave?  ipfs?  Lit doesn't handle the storage side of this, we only encrypt and decrypt the data for you (client side)","enicibenici#0",""
"2022-07-13,12:31:25","harpaljadeja.eth","#0","I am on localhost","rwiggum#0",""
"2022-07-13,13:13:06","rwiggum","#0","yeah it should work fine on localhost.  are you passing the same chain everytime?","harpaljadeja.eth#0",""
"2022-07-13,13:53:05","harpaljadeja.eth","#0","yup, I am invoking `checkAndSignAuthMessage` on button click so on every button click it pops my metamask","rwiggum#0",""
"2022-07-13,13:53:21","harpaljadeja.eth","#0","and is it possible to get the connected address using the LitSdk object?","",""
"2022-07-13,16:26:49","rwiggum","#0","yeah it shouldn't do that.  but it will do that if you either change your chain, or wallet address.  like if you run checkAndSignAuthMessage and then change your wallet address in metamask, and run checkAndSignAuthMessage again, it will pop metamask again for a new signature.  otherwise, it should store and retrieve it from localstorage.  are you in chrome?","harpaljadeja.eth#0",""
"2022-07-13,20:53:14","harpaljadeja.eth","#0","Yes","rwiggum#0",""
"2022-07-14,05:41:53","Anson","#6180","If it's `Blob` you might want to convert it to `string` to before storing it, here's a little snippet you can do that:
```
export const blobToDataURI = (blob) => {
    return new Promise((resolve, reject) => {
        var reader = new FileReader();

        reader.onload = (e) => {
        var data = e.target.result;
        resolve(data);
        };
        reader.readAsDataURL(blob);
    });
}
```","",""
"2022-07-14,06:41:25","harpaljadeja.eth","#0","does this mean i don't meet the accessControl conditions or am I passing the wrong ones","","https://cdn.discordapp.com/attachments/993005932902613103/997090436315361350/unknown.png"
"2022-07-14,06:41:50","harpaljadeja.eth","#0","<@528729934789869596>","Anson#6180",""
"2022-07-14,07:07:12","harpaljadeja.eth","#0","2 accessControlConditions being sent during encryption and decryption don't know why is it not the same","","https://cdn.discordapp.com/attachments/993005932902613103/997096924073168936/unknown.png"
"2022-07-14,07:24:34","harpaljadeja.eth","#0","i think it uses buffer which if not in browser then fails","rwiggum#0",""
"2022-07-14,07:24:38","harpaljadeja.eth","#0","and prompts to sign","",""
"2022-07-14,07:24:48","harpaljadeja.eth","#0","is Lit supposed to be used on server-side? 😅","",""
"2022-07-14,07:40:40","harpaljadeja.eth","#0","","","https://cdn.discordapp.com/attachments/993005932902613103/997105349595250698/unknown.png"
"2022-07-14,08:48:15","Anson","#6180","Can you show me the code for this?","harpaljadeja.eth#0",""
"2022-07-14,08:49:10","Anson","#6180","It can be used on both","harpaljadeja.eth#0",""
"2022-07-14,08:52:56","Anson","#6180","This repo is an example on encrypting static content and upload to a web3 storage (arweave), then pull it back down and decrypt it
https://github.com/LIT-Protocol/lit-bundlr-example/blob/e9ba2a46e1711389f71f435ee53c319454b61280/pages/index.js#L367","harpaljadeja.eth#0",""
"2022-07-14,08:54:55","Anson","#6180","if you trace the function that is being used on each step, it should give you a clearer image of how lit encrypting works eg. step 1 > `onDropKey` step2 > `onDropFile` step3 > `onClickSetAccessControl` , etc.","",""
"2022-07-14,08:57:20","Anson","#6180","This line might help: https://github.com/LIT-Protocol/lit-bundlr-example/blob/e9ba2a46e1711389f71f435ee53c319454b61280/pages/index.js#L185","harpaljadeja.eth#0",""
"2022-07-14,09:22:03","harpaljadeja.eth","#0","","Anson#6180","https://cdn.discordapp.com/attachments/993005932902613103/997130863475183656/unknown.png"
"2022-07-14,09:22:19","harpaljadeja.eth","#0","","","https://cdn.discordapp.com/attachments/993005932902613103/997130927643832400/unknown.png"
"2022-07-14,09:22:29","harpaljadeja.eth","#0","","","https://cdn.discordapp.com/attachments/993005932902613103/997130971126177902/unknown.png"
"2022-07-14,09:25:18","Anson","#6180","Which line of your code does this error occur?","harpaljadeja.eth#0",""
"2022-07-14,09:27:57","harpaljadeja.eth","#0","getEncryptionKey","",""
"2022-07-14,09:28:05","harpaljadeja.eth","#0","first image","",""
"2022-07-14,09:28:51","harpaljadeja.eth","#0","I am not storing the packagedData anywhere just directly calling decrypt after everything to check if it works","",""
"2022-07-14,09:29:10","harpaljadeja.eth","#0","so basically the accessControl used for encrypt is passed along to the getEncryptionKey","",""
"2022-07-14,09:35:56","Anson","#6180","so if `getEncryptionKey` failed, have you console.log each argument to check if they are correct?","harpaljadeja.eth#0","https://cdn.discordapp.com/attachments/993005932902613103/997134353979146281/unknown.png"
"2022-07-14,09:36:08","harpaljadeja.eth","#0","let me try that","",""
"2022-07-14,09:36:54","Anson","#6180","and check against the types suggested in the doc:
https://github.com/LIT-Protocol/lit-js-sdk/blob/main/api_docs.md#getencryptionkey","",""
"2022-07-14,09:37:37","harpaljadeja.eth","#0","symmetric key is blank 😅","",""
